customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,support_tickets,late_payments,complaints_last_6_months,products_used,avg_session_minutes,auto_pay,senior_citizen,churn
CUST-00001,7,20.0,173.43,Month-to-month,DSL,Electronic check,5,1,1,5,55.6,No,No,1
CUST-00002,56,44.68,2679.9,Month-to-month,DSL,Electronic check,1,2,0,5,5.3,Yes,No,0
CUST-00003,48,35.17,1638.17,Month-to-month,Fiber optic,Electronic check,0,0,0,3,42.8,No,Yes,1
CUST-00004,32,25.5,719.8,Month-to-month,DSL,Bank transfer,1,0,0,1,42.8,Yes,No,0
CUST-00005,32,48.7,1356.4,Month-to-month,Fiber optic,Credit card,1,0,2,5,25.7,Yes,Yes,1
CUST-00006,62,104.15,6573.46,One year,DSL,Electronic check,0,1,0,4,31.3,Yes,No,0
CUST-00007,7,74.02,567.42,One year,DSL,Bank transfer,0,0,2,1,56.3,Yes,No,0
CUST-00008,51,103.39,5223.98,Two year,Fiber optic,Mailed check,1,0,0,5,67.4,No,No,0
CUST-00009,15,84.04,1165.48,One year,DSL,Bank transfer,1,1,0,2,54.0,No,No,1
CUST-00010,7,92.22,780.76,One year,Fiber optic,Bank transfer,1,0,0,4,66.3,Yes,No,0
CUST-00011,38,55.18,2075.57,Month-to-month,DSL,Mailed check,2,0,0,2,27.6,Yes,No,0
CUST-00012,71,86.53,6123.65,One year,No internet,Credit card,1,0,0,1,14.3,Yes,No,0
CUST-00013,53,91.03,4752.5,Month-to-month,Fiber optic,Mailed check,0,0,0,3,37.2,Yes,Yes,0
CUST-00014,55,62.31,3378.15,Month-to-month,DSL,Mailed check,4,0,0,3,50.1,Yes,Yes,0
CUST-00015,52,87.31,4606.13,Month-to-month,DSL,Electronic check,1,1,0,5,10.2,Yes,No,1
CUST-00016,57,87.46,4815.25,Month-to-month,DSL,Bank transfer,0,0,0,1,24.1,Yes,No,0
CUST-00017,37,62.91,2337.36,Month-to-month,DSL,Bank transfer,0,0,0,5,25.8,Yes,No,0
CUST-00018,10,50.3,617.67,One year,DSL,Bank transfer,1,1,2,1,43.3,No,No,0
CUST-00019,61,48.95,2975.78,Two year,DSL,Bank transfer,0,0,0,5,41.4,Yes,Yes,0
CUST-00020,33,76.9,2664.21,One year,Fiber optic,Credit card,1,1,1,4,26.4,Yes,No,0
CUST-00021,37,82.19,3201.9,One year,Fiber optic,Credit card,1,2,2,2,40.7,Yes,No,0
CUST-00022,27,57.56,1662.55,Month-to-month,No internet,Credit card,2,0,0,5,20.8,No,No,1
CUST-00023,14,75.58,993.65,Month-to-month,Fiber optic,Bank transfer,0,0,0,2,31.6,No,No,0
CUST-00024,67,87.55,5861.6,One year,DSL,Bank transfer,2,1,0,4,19.0,Yes,No,0
CUST-00025,57,88.6,5091.69,Month-to-month,Fiber optic,Bank transfer,1,0,0,1,35.7,No,No,0
CUST-00026,47,109.14,5073.21,Month-to-month,DSL,Bank transfer,0,0,1,1,26.0,No,Yes,0
CUST-00027,29,103.09,2929.24,Month-to-month,DSL,Mailed check,1,0,1,2,48.4,Yes,No,1
CUST-00028,60,52.97,3110.6,Two year,Fiber optic,Electronic check,2,1,0,2,37.6,Yes,No,0
CUST-00029,40,112.04,4786.83,One year,Fiber optic,Mailed check,0,1,2,2,34.6,No,No,0
CUST-00030,32,63.32,1993.71,Month-to-month,Fiber optic,Electronic check,3,2,2,2,64.5,Yes,No,0
CUST-00031,33,97.99,3361.91,One year,No internet,Credit card,2,1,1,4,43.7,Yes,No,0
CUST-00032,17,76.5,1196.17,Month-to-month,DSL,Electronic check,3,0,2,1,32.5,Yes,Yes,1
CUST-00033,7,65.93,665.72,Month-to-month,Fiber optic,Credit card,1,0,0,4,29.2,Yes,No,0
CUST-00034,40,35.23,1363.77,Month-to-month,DSL,Credit card,1,0,0,5,20.3,No,No,0
CUST-00035,64,71.23,4565.08,Month-to-month,Fiber optic,Electronic check,0,0,1,5,37.0,No,No,0
CUST-00036,5,40.69,20.0,One year,Fiber optic,Credit card,1,0,0,1,42.6,No,No,0
CUST-00037,62,96.28,6103.35,Month-to-month,Fiber optic,Bank transfer,1,0,0,5,9.3,No,No,1
CUST-00038,60,108.37,6662.19,One year,Fiber optic,Electronic check,1,0,1,1,17.5,No,Yes,1
CUST-00039,20,57.47,1006.93,Month-to-month,DSL,Bank transfer,1,0,0,1,30.3,Yes,Yes,0
CUST-00040,46,81.64,3896.42,One year,No internet,Electronic check,1,1,0,4,21.5,No,No,0
CUST-00041,12,59.04,548.01,One year,No internet,Electronic check,0,0,0,4,38.6,Yes,No,0
CUST-00042,55,61.17,3440.2,One year,No internet,Electronic check,1,1,0,1,40.7,Yes,No,0
CUST-00043,51,92.04,4659.48,One year,Fiber optic,Credit card,0,0,0,3,36.2,No,No,0
CUST-00044,26,74.15,2088.25,Two year,Fiber optic,Bank transfer,1,0,1,3,46.3,No,No,0
CUST-00045,5,113.27,596.25,Month-to-month,DSL,Credit card,1,0,0,4,29.2,Yes,No,0
CUST-00046,70,64.39,4619.08,One year,No internet,Bank transfer,4,0,1,3,37.3,Yes,No,0
CUST-00047,33,96.99,3349.2,One year,DSL,Credit card,3,1,0,4,23.0,Yes,No,0
CUST-00048,65,77.14,4979.18,Month-to-month,DSL,Bank transfer,0,2,0,1,42.3,No,Yes,0
CUST-00049,49,92.51,4529.52,Month-to-month,DSL,Mailed check,1,0,0,5,39.1,Yes,No,0
CUST-00050,57,65.16,3580.78,Month-to-month,DSL,Credit card,1,0,0,3,20.0,Yes,Yes,0
CUST-00051,55,73.91,4029.05,Month-to-month,No internet,Electronic check,1,0,1,4,35.7,Yes,No,0
CUST-00052,15,72.46,1318.15,Month-to-month,DSL,Electronic check,0,1,0,3,37.4,No,No,1
CUST-00053,27,56.61,1619.16,Month-to-month,Fiber optic,Credit card,0,0,1,2,42.2,No,No,1
CUST-00054,34,89.57,2920.03,One year,Fiber optic,Credit card,4,0,1,4,42.8,No,No,1
CUST-00055,36,89.31,3410.93,Month-to-month,DSL,Electronic check,3,1,2,2,27.2,No,No,0
CUST-00056,4,88.06,398.92,Two year,Fiber optic,Bank transfer,0,1,1,2,49.5,Yes,Yes,0
CUST-00057,40,108.81,4452.05,Month-to-month,No internet,Mailed check,1,0,1,3,45.8,Yes,No,0
CUST-00058,12,106.89,1341.54,One year,DSL,Electronic check,0,0,0,2,27.1,Yes,No,0
CUST-00059,54,66.75,3654.87,Month-to-month,Fiber optic,Electronic check,2,1,0,5,20.9,Yes,No,0
CUST-00060,50,83.21,3920.77,Month-to-month,Fiber optic,Electronic check,0,0,2,4,28.3,No,Yes,1
CUST-00061,67,61.28,4238.6,Month-to-month,DSL,Credit card,1,0,0,2,15.9,Yes,Yes,0
CUST-00062,54,75.51,3807.02,One year,DSL,Bank transfer,0,0,0,1,41.1,No,No,0
CUST-00063,27,61.81,1790.79,Month-to-month,Fiber optic,Credit card,3,0,0,2,55.8,Yes,No,0
CUST-00064,70,110.64,7756.75,Two year,No internet,Electronic check,1,0,0,1,59.3,Yes,Yes,0
CUST-00065,30,83.0,2590.26,Month-to-month,Fiber optic,Credit card,2,0,0,2,21.7,No,No,0
CUST-00066,24,70.2,1703.81,One year,Fiber optic,Electronic check,0,1,2,2,49.8,No,No,0
CUST-00067,66,101.26,6808.41,Month-to-month,Fiber optic,Credit card,0,1,0,4,39.3,Yes,Yes,0
CUST-00068,27,27.25,737.69,One year,DSL,Credit card,0,2,1,1,3.0,No,No,0
CUST-00069,6,30.69,217.85,Month-to-month,DSL,Credit card,0,0,1,1,33.0,Yes,No,0
CUST-00070,34,92.51,3193.91,Month-to-month,No internet,Credit card,0,0,0,1,31.3,Yes,No,0
CUST-00071,58,76.33,4652.58,Month-to-month,Fiber optic,Bank transfer,1,1,0,5,56.2,Yes,No,0
CUST-00072,14,80.51,1199.17,Month-to-month,No internet,Electronic check,4,0,3,5,24.9,No,No,0
CUST-00073,34,45.82,1399.86,Month-to-month,DSL,Bank transfer,0,0,0,2,46.4,Yes,No,0
CUST-00074,10,74.49,677.22,Two year,Fiber optic,Electronic check,1,0,0,3,36.4,Yes,No,0
CUST-00075,50,119.08,6025.76,Month-to-month,Fiber optic,Electronic check,0,0,1,2,16.3,Yes,No,1
CUST-00076,35,93.13,3410.72,Month-to-month,Fiber optic,Bank transfer,0,1,1,3,29.7,Yes,No,1
CUST-00077,24,78.73,1802.86,Two year,No internet,Bank transfer,1,1,0,3,61.0,No,No,0
CUST-00078,17,65.34,1379.57,Month-to-month,Fiber optic,Electronic check,1,1,0,2,35.4,Yes,Yes,1
CUST-00079,41,66.32,2740.19,Month-to-month,Fiber optic,Credit card,1,0,0,4,51.6,No,No,0
CUST-00080,49,28.16,1430.31,One year,DSL,Bank transfer,2,4,2,1,50.8,No,Yes,1
CUST-00081,68,80.67,5335.07,Two year,No internet,Mailed check,1,0,0,4,31.3,Yes,No,0
CUST-00082,32,93.6,3129.06,One year,DSL,Credit card,2,0,1,4,18.7,No,No,0
CUST-00083,12,40.34,430.59,Month-to-month,DSL,Electronic check,0,3,2,1,20.7,No,No,0
CUST-00084,60,60.45,3537.49,Two year,Fiber optic,Credit card,0,0,0,4,59.8,No,Yes,0
CUST-00085,46,49.54,2240.78,Month-to-month,No internet,Electronic check,0,0,0,4,40.3,No,No,0
CUST-00086,51,53.76,2907.69,Two year,Fiber optic,Electronic check,0,0,0,5,12.0,Yes,No,0
CUST-00087,8,76.18,665.33,Two year,Fiber optic,Credit card,0,0,2,5,50.5,Yes,Yes,0
CUST-00088,23,29.14,563.53,Two year,No internet,Bank transfer,4,1,0,1,11.2,Yes,No,0
CUST-00089,56,88.51,4892.91,Month-to-month,Fiber optic,Electronic check,0,1,1,1,25.6,No,Yes,0
CUST-00090,60,91.58,5663.95,Month-to-month,Fiber optic,Bank transfer,1,0,0,1,39.2,Yes,Yes,0
CUST-00091,32,69.48,2194.99,One year,DSL,Bank transfer,3,1,1,3,75.8,No,No,0
CUST-00092,58,20.42,1251.61,Month-to-month,Fiber optic,Bank transfer,1,1,0,4,50.2,No,No,0
CUST-00093,61,53.08,3334.5,Month-to-month,Fiber optic,Electronic check,0,0,0,4,30.8,Yes,No,0
CUST-00094,28,102.12,2449.11,Two year,DSL,Credit card,0,0,0,2,38.4,No,No,0
CUST-00095,65,20.0,1451.73,One year,DSL,Electronic check,0,0,4,2,51.8,Yes,No,0
CUST-00096,21,67.35,1312.07,Month-to-month,DSL,Electronic check,1,3,0,1,59.3,Yes,No,0
CUST-00097,18,49.04,839.45,Month-to-month,Fiber optic,Electronic check,0,1,1,2,34.3,No,No,1
CUST-00098,50,92.7,4819.72,Month-to-month,DSL,Electronic check,2,0,1,2,34.7,Yes,No,1
CUST-00099,46,60.15,2940.53,Month-to-month,DSL,Electronic check,1,3,0,2,25.5,Yes,No,0
CUST-00100,11,83.89,981.92,Month-to-month,Fiber optic,Electronic check,1,0,2,1,48.0,No,Yes,1
CUST-00101,60,87.44,5333.81,Two year,Fiber optic,Mailed check,1,0,1,2,53.4,No,Yes,0
CUST-00102,15,115.4,1848.36,One year,Fiber optic,Bank transfer,1,0,1,5,8.9,No,Yes,0
CUST-00103,58,70.54,4262.93,Month-to-month,DSL,Electronic check,1,0,0,2,32.0,Yes,No,0
CUST-00104,1,83.27,270.16,Month-to-month,Fiber optic,Mailed check,0,0,1,5,19.8,Yes,No,1
CUST-00105,58,42.33,2468.06,One year,DSL,Electronic check,2,0,0,1,40.3,Yes,No,0
CUST-00106,57,101.19,5679.35,Two year,No internet,Credit card,0,0,1,4,19.4,Yes,No,0
CUST-00107,57,58.27,3290.77,Two year,Fiber optic,Bank transfer,2,0,1,1,18.2,No,No,0
CUST-00108,48,62.66,3022.94,Month-to-month,DSL,Credit card,0,1,1,2,54.9,Yes,No,0
CUST-00109,34,74.51,2526.97,Two year,Fiber optic,Electronic check,1,0,0,5,35.5,No,Yes,0
CUST-00110,51,40.62,1950.15,Month-to-month,Fiber optic,Electronic check,0,1,1,4,37.1,Yes,No,0
CUST-00111,20,80.03,1653.02,Month-to-month,DSL,Credit card,1,0,0,3,44.5,Yes,No,0
CUST-00112,57,96.28,5299.83,Two year,Fiber optic,Credit card,2,0,0,4,52.6,Yes,No,0
CUST-00113,41,81.44,3349.29,Month-to-month,No internet,Credit card,3,2,0,4,31.7,Yes,No,1
CUST-00114,34,40.04,1379.3,Month-to-month,DSL,Credit card,0,0,3,4,32.1,Yes,Yes,0
CUST-00115,37,72.28,2688.19,Month-to-month,Fiber optic,Electronic check,0,0,0,3,32.1,No,No,0
CUST-00116,41,91.32,3846.27,Month-to-month,Fiber optic,Credit card,1,0,1,3,54.2,No,No,1
CUST-00117,3,33.68,187.27,Month-to-month,Fiber optic,Electronic check,0,0,1,1,37.0,No,No,0
CUST-00118,11,51.36,831.68,One year,No internet,Bank transfer,1,1,0,5,33.6,Yes,Yes,0
CUST-00119,18,94.28,1634.91,Month-to-month,DSL,Bank transfer,3,0,2,3,43.9,No,No,1
CUST-00120,9,80.94,761.98,Month-to-month,Fiber optic,Credit card,2,1,0,2,65.5,No,No,0
CUST-00121,32,84.06,2715.75,Two year,DSL,Bank transfer,2,1,0,1,39.1,Yes,No,0
CUST-00122,49,115.91,5699.77,Month-to-month,DSL,Electronic check,0,0,1,4,34.0,No,Yes,0
